
**********************************************
Imaginary-time propagation in 3D, OPTION = 2
MPI nodes = 8, OMP threads = 16, cores = 128
**********************************************

Interactions
Contact: Natoms = 1.50000000000e+05, as = 8.800000e+01 * a0, G = 1.580905e+04, G * par = 3.161810e+04
Three-body: K3 =  0.000000e+00, g3 = 0.000000e+00
Regular DDI: add = 1.100000e+02 * a0, GD = 4.717666e+03, GD * par =  9.435331e+03, edd = 1.250000e+00
     Dipolar cutoffs Rcut = 1.044572e+01, Lcut = 2.888137e+02

QF = 1, QDEPL = 0: h2 = 1.986773e+05, h4 = 0.000000e+00
        q3 = 0.000000e+00, q5 = 3.509993e+00

GRAD = 0

Trap parameters
GAMMA = 0.000000e+00, NU = 0.000000e+00, LAMBDA = 0.000000e+00
Parameters of rotation: OMEGA = 0.000000e+00, OMEGA * par = 0.000000e+00

Space discretization: NX = 128, NY = 128, NZ = 128
                      DX = 4.512714e+00, DY = 1.632144e-01, DZ = 1.632144e-01
      Unit of length: aho = 5.552380e-07 m

Time discretization: NITER = 1000000 (NSNAP = 10000)
                     DT = 1.331947e-02

Initial state: Gaussian
               SX = 2.888137e+01, SY = 1.044572e+00, SZ = 1.044572e+00
ADD_VORTICES = 0, ADD_RANDOM_PHASE = 0


MUREL = 1.000000e-06, MUEND=0.000000e+00

-------------------------------------------------------------------
Snap      Na             QD             mu             <r>
-------------------------------------------------------------------
0         1.50000000000e+05   0.000000e+00   -3.432554e-01  2.891913e+01  
1         1.50000000000e+05   0.000000e+00   -5.274309e-01  2.948329e+01  
2         1.50000000000e+05   0.000000e+00   -5.266359e-01  2.931379e+01  
3         1.50000000000e+05   0.000000e+00   -5.255631e-01  2.919077e+01  
4         1.50000000000e+05   0.000000e+00   -5.247881e-01  2.910681e+01  
5         1.50000000000e+05   0.000000e+00   -5.242577e-01  2.905042e+01  
6         1.50000000000e+05   0.000000e+00   -5.238936e-01  2.901214e+01  
7         1.50000000000e+05   0.000000e+00   -5.236402e-01  2.898570e+01  
8         1.50000000000e+05   0.000000e+00   -5.234611e-01  2.896712e+01  
9         1.50000000000e+05   0.000000e+00   -5.233326e-01  2.895385e+01  
10        1.50000000000e+05   0.000000e+00   -5.232393e-01  2.894424e+01  
11        1.50000000000e+05   0.000000e+00   -5.231710e-01  2.893722e+01  
12        1.50000000000e+05   0.000000e+00   -5.231205e-01  2.893204e+01  
13        1.50000000000e+05   0.000000e+00   -5.230829e-01  2.892820e+01  
14        1.50000000000e+05   0.000000e+00   -5.230548e-01  2.892533e+01  
15        1.50000000000e+05   0.000000e+00   -5.230338e-01  2.892318e+01  
16        1.50000000000e+05   0.000000e+00   -5.230180e-01  2.892156e+01  
17        1.50000000000e+05   0.000000e+00   -5.230060e-01  2.892034e+01  
18        1.50000000000e+05   0.000000e+00   -5.229970e-01  2.891942e+01  
19        1.50000000000e+05   0.000000e+00   -5.229902e-01  2.891872e+01  
20        1.50000000000e+05   0.000000e+00   -5.229850e-01  2.891820e+01  
21        1.50000000000e+05   0.000000e+00   -5.229811e-01  2.891780e+01  
22        1.50000000000e+05   0.000000e+00   -5.229782e-01  2.891750e+01  
23        1.50000000000e+05   0.000000e+00   -5.229759e-01  2.891727e+01  
24        1.50000000000e+05   0.000000e+00   -5.229742e-01  2.891709e+01  
25        1.50000000000e+05   0.000000e+00   -5.229729e-01  2.891696e+01  
26        1.50000000000e+05   0.000000e+00   -5.229719e-01  2.891686e+01  
27        1.50000000000e+05   0.000000e+00   -5.229712e-01  2.891679e+01  
28        1.50000000000e+05   0.000000e+00   -5.229706e-01  2.891673e+01  
29        1.50000000000e+05   0.000000e+00   -5.229702e-01  2.891669e+01  
-------------------------------------------------------------------

Initialization/allocation wall-clock time: 3.399 seconds
Calculation (iterations) wall-clock time : 172.255 seconds

